,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57,top58,top59,top60,top61,top62,top63,top64,top65,top66,top67,top68,top69,top70,top71,top72,top73,top74,top75,top76,top77,top78,top79,top80,top81,top82,top83,top84,top85,top86,top87,top88,top89,top90,top91,top92,top93,top94,top95,top96,top97,top98,top99,top100,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-06,SH600016,SH601169,SH600377,SH601229,SH601009,SH600015,SH601077,SH601328,SH601939,SH601166,SH601825,SH600941,SH601236,SH601816,SH601916,SZ000895,SH600919,SZ002736,SH600926,SH601658,SH601006,SH600600,SH601998,SZ002252,SH601988,SH601668,SH600036,SH603259,SH601398,SH601628,SZ002179,SH601818,SZ300750,SZ001965,SZ000425,SZ000001,SH600741,SZ000983,SH601838,SH600150,SH688009,SH600760,SH600018,SH688271,SH603195,SH600900,SZ000538,SZ002459,SH601456,SZ000063,SZ300999,SH600887,SH601800,SH601878,SZ002311,SH601766,SZ000999,SH603296,SH603288,SZ300759,SH601088,SH601238,SH601319,SH601136,SH601225,SH600161,SZ001391,SH600674,SH600031,SZ000166,SH600050,SZ000333,SH600019,SH601881,SH601100,SZ000617,SH600104,SZ002352,SH600085,SZ000776,SZ300059,SH600690,SH601012,SZ300760,SH601186,SZ002600,SH600809,SZ002074,SZ002422,SH600660,SH600030,SH601607,SH600196,SZ002415,SH600999,SZ000938,SZ002371,SH600066,SZ002236,SH601618,0.007285024505108595,0.012848139,0.21,0.006865024505108595,1.0068650245051085,1.0128481,1.0068650245051085,0.0
1,2026-03-09,SH600015,SH601077,SH601006,SH603195,SH601816,SH600036,SH600926,SH601628,SH601398,SH601328,SH600016,SH601988,SH600941,SH600018,SZ002252,SH600919,SH601818,SZ000538,SH601658,SH601825,SH601088,SH601998,SZ000725,SH600674,SH601618,SH601169,SH600377,SH600050,SH601607,SH601838,SH601236,SH600887,SH600600,SH601229,SZ000999,SH600023,SH600019,SH601916,SH600025,SH600027,SH601668,SH600150,SH601766,SH601009,SZ002459,SZ002352,SH600104,SH600900,SH601186,SZ000001,SZ000876,SZ000100,SH600031,SZ300628,SZ002371,SZ000425,SH601800,SZ000983,SH603259,SH600011,SZ000895,SH601012,SH600660,SZ300750,SZ002594,SZ000708,SZ003816,SZ000651,SH601319,SH688009,SZ000063,SH601939,SH601238,SH600233,SH601225,SZ002736,SZ001965,SH603288,SH601456,SZ002311,SH600196,SZ002415,SZ001391,SZ002179,SH600690,SZ301236,SH601878,SZ300059,SH600886,SH601136,SZ300498,SH600085,SZ000858,SZ300760,SH601985,SH600918,SH600760,SZ000166,SH603260,SH603501,0.00998124573379755,0.006361842,0.19,0.00960124573379755,1.016532183026148,1.0192918,1.016532183026148,0.0
2,2026-03-10,SZ300782,SZ002311,SH600015,SH601006,SH600919,SH600036,SZ000895,SH601825,SH600066,SZ000425,SH601166,SH600941,SH600926,SH600025,SZ002371,SH600016,SH600900,SH603195,SH601009,SZ000999,SH601077,SH600887,SH601169,SH601328,SZ000651,SH601816,SH601838,SH601916,SH600674,SH601229,SH600377,SH600600,SH600018,SH600233,SZ000063,SZ002352,SZ000876,SH600196,SH600741,SH601818,SZ002422,SH601985,SH603288,SZ002074,SH601988,SH600039,SH600660,SZ000100,SZ300896,SH601668,SZ300750,SZ002714,SZ000333,SZ000538,SZ002459,SZ000725,SH601658,SH600104,SH600085,SZ003816,SZ002179,SH601998,SH601390,SZ000001,SZ002600,SH600760,SH601012,SH601186,SH601766,SZ000983,SH601788,SZ002415,SH601939,SH688009,SH600011,SZ002736,SH603259,SH600886,SZ300124,SH601800,SZ000977,SH600023,SZ001965,SH601236,SH600150,SZ000938,SH601238,SH600918,SH601398,SH600031,SH600027,SH600050,SZ000776,SH601456,SZ300498,SH601607,SZ002252,SZ000858,SH600436,SH603296,0.0035977244842797518,-0.0036008358,0.23,0.003137724484279752,1.0197217809458876,1.0156214,1.0197217809458876,0.0
3,2026-03-11,SH603195,SH600015,SH601816,SH688009,SH601818,SH601328,SZ002415,SH601669,SH601658,SH600233,SH600887,SZ000538,SZ002736,SH600036,SZ000333,SH601939,SH600941,SH600674,SH600600,SH600050,SZ002352,SZ000001,SH600016,SH601166,SZ000651,SH601398,SH601236,SH600377,SZ000425,SH600025,SZ000100,SZ000166,SZ000708,SH600019,SZ000725,SH601318,SH600161,SH601916,SH600918,SH601825,SH601169,SH600900,SH601319,SZ002252,SH600926,SH600196,SZ000895,SH601607,SZ002311,SH601788,SH601998,SH601456,SH601838,SH601878,SH600018,SH601238,SH601229,SZ000983,SH600061,SZ000999,SH600905,SZ000858,SH601881,SH600660,SH600999,SH601009,SH603288,SH601988,SZ300760,SZ002074,SH600958,SH600919,SZ300782,SH601901,SZ300124,SZ001391,SH600085,SH601006,SH600027,SZ003816,SZ300498,SH600160,SZ301236,SH600023,SH600104,SH600031,SZ300750,SH601186,SZ300896,SH601136,SH600011,SZ000977,SH601012,SH600930,SZ000876,SZ002236,SH603893,SZ300059,SZ002459,SZ002179,-0.000790563237387687,-0.0039295554,0.19,-0.001170563237387687,1.0185281321167488,1.0116305,1.0197217809458876,-0.0011705632373877892
4,2026-03-12,SH601328,SH601816,SH600919,SH600690,SH601658,SH601009,SH600016,SH600900,SH601398,SH600036,SZ000895,SZ002252,SH601229,SH601668,SH601166,SH600015,SH601169,SH600018,SH601998,SH601818,SZ000999,SH600887,SH601939,SH600660,SZ000001,SH600050,SZ002352,SZ000333,SH600600,SH600674,SH601825,SH600019,SH600741,SZ000708,SH603195,SH601838,SH601238,SH600941,SZ002459,SH603288,SH601988,SH600025,SH601633,SH603259,SH600161,SH600886,SZ001965,SH601077,SZ002736,SZ000977,SH601186,SH601916,SZ000166,SH601766,SH600031,SH600027,SZ002415,SH600104,SH600061,SH601607,SZ000100,SH600918,SH601236,SZ000538,SZ300498,SH600196,SZ002371,SZ000651,SH601006,SH600926,SH601318,SH601225,SH601136,SZ002236,SH600377,SZ300124,SZ000725,SH600011,SZ000063,SZ000876,SH600233,SZ300628,SH600999,SZ000858,SH601100,SH600085,SH601788,SH601800,SH600023,SZ301236,SH603260,SZ002027,SH601878,SH603296,SH603893,SH601012,SZ003816,SH601088,SZ002311,SH601319,-0.003051565960049629,0.000518322,0.18,-0.0034115659600496293,1.0150533562118662,1.0121549,1.0197217809458876,-0.00457813574374277
5,2026-03-13,SH601816,SH601838,SH600919,SH600900,SH600600,SH600887,SH601169,SH601009,SH600016,SH600036,SH601818,SH601398,SH601166,SH601658,SZ300999,SH600690,SZ000999,SZ000100,SZ000725,SZ300014,SZ000708,SZ000538,SH600926,SZ000001,SH603195,SH601988,SZ000895,SH600741,SH600031,SH601668,SH601939,SZ000977,SH600660,SH601229,SZ002415,SH601328,SH601607,SZ000333,SH600018,SZ000983,SH600161,SZ000876,SH600019,SZ002311,SH601238,SZ002459,SH603288,SH600015,SH600377,SH603259,SZ002027,SH601916,SH600941,SZ002594,SH601766,SH600196,SH601825,SZ000063,SZ002371,SH600809,SZ300896,SZ001965,SZ000858,SH601236,SH600039,SH601012,SZ002252,SH601618,SZ300750,SH600050,SH600519,SH601100,SH601136,SZ002236,SH600085,SZ002352,SH601077,SH601998,SH603296,SZ000651,SH600918,SH601633,SH601878,SH601901,SZ002074,SZ000661,SH600061,SH603260,SZ000166,SH601390,SH600066,SZ002736,SH601788,SH600104,SZ001391,SZ002422,SH600027,SH601456,SH603893,SH601006,-0.0001358425652142614,-0.0073037744,0.22,-0.0005758425652142615,1.0144688452833959,1.0047624,1.0197217809458876,-0.005151342023526409
6,2026-03-16,SH601838,SH601100,SH601009,SZ000333,SH603019,SZ000063,SH601006,SZ002594,SH600023,SH603259,SH601816,SH600027,SZ002422,SH601166,SH600016,SH600900,SH601236,SH601916,SH601229,SZ300750,SH600036,SH600600,SH600941,SH600741,SH601238,SH603260,SH600919,SZ002179,SH600887,SH603296,SH600015,SH601169,SZ000876,SH600018,SH600031,SH688009,SH600660,SZ000425,SH600690,SH600025,SH601818,SZ000858,SZ300782,SH601607,SH603288,SH600104,SZ002074,SZ000651,SH600377,SZ300498,SZ000001,SZ002311,SZ002460,SH601633,SZ000538,SZ000895,SH600196,SZ001965,SZ002736,SH688271,SH601319,SH600926,SH600066,SZ002371,SH600009,SZ300124,SZ002236,SH601328,SH601398,SH601825,SZ302132,SZ000999,SZ002252,SH600436,SH600011,SZ002459,SZ300896,SH600905,SH601668,SH601658,SZ000166,SH600085,SH601878,SH600161,SZ002352,SH601998,SZ300014,SZ000725,SH601901,SH600039,SH600918,SZ300059,SZ300015,SZ001391,SH601136,SH600674,SH600050,SH601012,SH600886,SZ002714,-0.00349033297970891,0.0045046806,0.22,-0.00393033297970891,1.0104816449238914,1.0092885,1.0197217809458876,-0.009061428513790453
