instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SZ002142,0.17166656405135303,1.0,,2026-02-12,-0.014761252,0.020728704,-0.71211654,0.0031407634,0.15151761,0.0028266872,0.13636585,-0.015075329,-0.7272683,1.0149825,1.0181702,0.997131,1.0049535,1.0370992,0.9901758,0.9184333,0.8983971,0.90524817,1.0233195,1.0102895,0.9761892,0.9548259,0.9270725,0.014996378,0.02448745,0.043494835,0.04742558,0.044177577,-0.007833504,0.0046739397,0.0066833314,0.0048995605,0.001972885,0.68214923,0.33395693,0.8263778,0.8271622,0.6082745,-0.007652513,-0.031322252,-0.03968087,-0.02586953,0.014727349,1.0494175,1.0494175,1.0494175,1.0494175,1.0494175,0.997131,0.96719486,0.90085435,0.8894871,0.86899143,1.031696,1.0312047,1.0206308,1.0021199,0.9671406,1.0148914,0.9850827,0.932032,0.9134695,0.89488107,0.2,0.4,0.7,0.8,0.9,0.05487139,0.39897922,0.6673634,0.69100606,0.7261064,0.2,0.6,0.8,0.8666667,0.93333334,1.0,0.3,0.1,0.23333333,0.3,-0.8,0.3,0.7,0.6333333,0.6333333,-0.052187536,-0.24973887,-0.45227933,-0.03797611,0.46999574,-0.022412617,0.2804649,0.482789,0.53625774,0.4283142,0.2,0.4,0.55,0.5,0.43333334,0.8,0.6,0.45,0.5,0.53333336,-0.6,-0.2,0.1,0.0,-0.1,0.18461525,0.5351852,0.6212996,0.61101705,0.5760216,0.81538475,0.46481478,0.3787004,0.38898295,0.42397836,-0.6307695,0.070370436,0.24259922,0.2220341,0.15204328,1.025912,1.2514597,1.4992386,1.4439743,1.0937566,0.17770675,0.31731838,0.43775657,0.45444888,0.48663688,0.363067,0.84179187,0.9464713,1.0369804,1.4330832,0.24457614,0.40630105,0.49980047,0.5136276,0.5089227,0.75542384,0.5936989,0.50019956,0.4863724,0.49107733,-0.5108477,-0.18739787,-0.0003990826,0.027255204,0.017845344
SH601998,0.16219601179835222,1.0,,2026-02-12,-0.027559057,0.031496078,-0.87499964,0.0013123401,0.04166678,0.0026246803,0.08333356,-0.026246717,-0.8333329,1.0283401,1.0296897,0.9973009,1.0060561,1.0078844,0.97306174,1.0295664,1.0282522,1.044021,1.0128778,1.0005913,1.0049605,1.0084537,1.0189005,0.012297192,0.018398017,0.023475165,0.021430792,0.025444474,0.0011169661,0.004710707,-0.0011011407,-0.0007682636,-0.00091944035,0.020625673,0.60095453,0.077008106,0.09959689,0.39825386,-0.015111713,-0.021789504,0.0055002784,0.0026860563,0.008222946,1.0322651,1.0322651,1.0658787,1.0658787,1.0892341,0.9930427,0.9690839,0.95821613,0.95821613,0.95821613,1.0232589,1.0106438,1.0269382,1.0274638,1.0441524,1.004205,0.98830485,0.9877792,0.99303544,0.99737185,0.2,0.5,0.5,0.41666666,0.25833333,0.1773808,0.48932436,0.3880998,0.3880998,0.31891686,0.8,0.9,0.15,0.43333334,0.05,0.4,0.1,0.5,0.6666667,0.8333333,0.4,0.8,-0.35,-0.23333333,-0.78333336,-0.9767215,-0.82621115,-0.40283486,-0.27142364,-0.21017645,-0.8459124,-0.20935284,-0.16344744,-0.15835302,0.107963376,0.6,0.6,0.4,0.43333334,0.41666666,0.4,0.4,0.6,0.56666666,0.53333336,0.2,0.2,-0.2,-0.13333334,-0.11666667,0.43023282,0.59808624,0.44274813,0.46025884,0.46514055,0.5697672,0.4019138,0.5572519,0.53974116,0.5348594,-0.13953437,0.19617243,-0.114503734,-0.07948234,-0.069718875,0.7900487,1.1892239,1.3256078,1.4171506,1.192406,0.15648709,0.5125995,0.4581388,0.462384,0.43791568,1.1888261,0.9701389,0.8458012,0.8461943,0.95046425,0.39089978,0.26202533,0.4630606,0.4903088,0.51077765,0.6091002,0.7379747,0.5369394,0.5096912,0.48922235,-0.21820045,-0.47594938,-0.0738788,-0.01938241,0.021555288
SH688169,0.15127158009748837,1.0,,2026-02-12,-0.02171056,0.034868468,-0.6226417,0.005986887,0.17169918,0.007171019,0.20565915,-0.020526428,-0.5886817,1.0221924,1.0283121,0.9926698,1.0018262,1.0209081,0.97444195,1.0503749,1.0209081,1.0655042,1.0169624,0.9992941,1.0051293,1.0262809,1.0360186,0.009801619,0.025978478,0.026432348,0.03933417,0.032407,-0.0032903766,0.006807013,-0.001083896,-0.0030433475,-0.0010020448,0.2817316,0.62935716,0.058853436,0.46394324,0.291606,-0.01038163,-0.029925672,0.0051676673,0.01784764,-0.0064583058,1.0336219,1.0336219,1.0640941,1.1110332,1.1110332,0.9926698,0.9516473,0.9516473,0.9516473,0.9516473,1.0229568,1.0212586,1.0241969,1.065949,1.065949,1.0140443,0.9729661,0.9755202,0.9940056,1.0198736,0.2,0.5,0.45,0.3,0.15,0.17899363,0.5898499,0.4300057,0.30336905,0.30336905,0.8,0.9,0.05,0.13333334,0.56666666,1.0,0.3,0.65,0.76666665,0.8833333,-0.2,0.6,-0.6,-0.6333333,-0.31666666,-0.7926046,-0.18365961,0.21214636,0.50023234,0.055311825,-0.7594457,0.2252092,0.08059971,0.19414024,0.19542494,0.4,0.6,0.55,0.56666666,0.51666665,0.6,0.4,0.45,0.43333334,0.48333332,-0.2,0.2,0.1,0.13333334,0.033333335,0.19327746,0.6147675,0.39768675,0.47590193,0.46123165,0.8067225,0.38523254,0.6023133,0.52409804,0.53876835,-0.6134451,0.22953495,-0.20462653,-0.04819613,-0.07753672,0.79528606,0.9624423,1.2604088,1.4013014,1.1312639,0.16253975,0.32084283,0.41133752,0.43182293,0.44296393,1.4609097,1.2384971,0.93378514,0.82401353,0.95145327,0.25503835,0.48092633,0.43569174,0.49346527,0.5095092,0.7449616,0.51907367,0.5643083,0.50653476,0.49049082,-0.4899233,-0.038147304,-0.12861653,-0.013069471,0.019018367
SH601021,0.13734434426585612,1.0,,2026-02-12,-0.012048195,0.024440622,-0.4929578,0.010499104,0.42957598,0.0018933224,0.07746621,-0.020653976,-0.84506756,1.0121951,1.0228223,0.9980836,1.0065517,1.0355533,0.9747686,0.99303675,1.0035226,0.95781106,1.0198902,1.0074711,1.0060375,1.0105321,0.98515743,0.013341337,0.027341519,0.023817696,0.021992212,0.03440872,-0.0075120768,0.004988694,0.00041231132,-0.00063719176,0.0012847129,0.79261315,0.3051687,0.010488638,0.065058514,0.4251822,-0.0048660575,-0.029920228,-0.009954456,-0.0012929077,-0.02305644,1.0392082,1.041651,1.041651,1.0517613,1.0517613,0.9975734,0.95524776,0.95524776,0.95524776,0.9061139,1.0288196,1.0288196,1.0263783,1.0278692,1.0234292,1.0114033,0.9781109,0.9791103,0.99052995,0.9572704,0.2,0.4,0.4,0.3,0.6166667,0.05828406,0.5179463,0.5179463,0.46368885,0.64461225,0.2,0.5,0.75,0.13333334,0.56666666,0.6,0.3,0.65,0.76666665,0.3,-0.4,0.2,0.1,-0.6333333,0.26666668,-0.19907153,-0.1963219,-0.19815704,-0.02030855,0.034488793,-0.39545,0.19205867,0.062750645,0.1590993,0.1251817,0.2,0.5,0.45,0.43333334,0.51666665,0.8,0.5,0.55,0.56666666,0.48333332,-0.6,0.0,-0.1,-0.13333334,0.033333335,0.14542435,0.5861299,0.5133355,0.49538523,0.53046983,0.85457563,0.41387007,0.48666447,0.5046148,0.4695302,-0.70915127,0.17225984,0.026671069,-0.009229524,0.060939632,0.7962863,0.9966682,1.1197813,1.1864084,1.1788986,0.22059363,0.35128358,0.33596343,0.3044074,0.35873473,0.5292048,1.4821259,1.343234,1.2108309,1.1111588,0.48295626,0.50358576,0.48711154,0.48513147,0.46556348,0.51704377,0.49641424,0.51288843,0.51486856,0.5344365,-0.034087505,0.007171496,-0.025776895,-0.029737074,-0.06887307
SH600926,0.13319155010630648,1.0,,2026-02-12,-0.0072727883,0.014545462,-0.50000393,0.0036363371,0.24999803,0.0036363371,0.24999803,-0.0072727883,-0.50000393,1.0073261,1.0109891,0.996337,1.0026938,1.0127908,0.97860473,0.9572093,0.93767446,0.9365117,1.0032094,0.9939535,0.96908146,0.9633179,0.95335275,0.0034075826,0.015545284,0.030485375,0.026983993,0.023058891,-0.00030233004,0.0035687056,0.0048447265,0.0022748786,0.0007206847,0.019679306,0.4830984,0.8839414,0.55081487,0.29792958,-0.0026046613,-0.010012701,-0.015106343,0.0036963862,0.025387043,1.0189253,1.0189253,1.0189253,1.0189253,1.0189253,0.9924723,0.96148264,0.916804,0.916804,0.916804,1.0055814,1.0055814,1.0012559,0.9892093,0.96548843,1.0009303,0.98265123,0.93706983,0.93925583,0.93279076,0.2,0.5,0.75,0.8333333,0.9166667,0.284569,0.6705363,0.81467843,0.81467843,0.81467843,0.2,0.6,0.8,0.8666667,0.93333334,0.4,0.3,0.15,0.43333334,0.71666664,-0.2,0.3,0.65,0.43333334,0.21666667,-0.64491516,-0.37373433,-0.57796735,-0.38944635,0.023566743,-0.5052839,0.23331864,0.13736455,0.36324224,0.23823631,0.2,0.4,0.5,0.5,0.55,0.8,0.6,0.5,0.5,0.45,-0.6,-0.2,0.0,0.0,0.1,0.26495525,0.6064813,0.59504133,0.5901749,0.55704135,0.7350448,0.39351872,0.40495867,0.40982512,0.44295865,-0.47008952,0.21296257,0.19008267,0.18034977,0.11408268,1.0484192,1.2930789,1.6983955,1.7588627,1.4333209,0.20321469,0.34090555,0.62578756,0.6455094,0.59618515,0.65387774,1.040809,0.82125914,1.0613177,1.2598846,0.19696374,0.3841701,0.45185322,0.49837255,0.49690297,0.8030363,0.6158299,0.5481468,0.50162745,0.50309706,-0.60607255,-0.23165983,-0.09629356,-0.0032549188,-0.0061940667
SZ000895,0.12985281653569927,1.0,,2026-02-12,-0.0037566556,0.008264473,-0.45455477,0.0026295364,0.31817353,0.0018782808,0.22727169,-0.0045079114,-0.5454566,1.0037708,1.0064102,0.99811465,1.0012792,1.0064096,0.97850835,0.96907705,1.007914,1.0237548,1.0036207,0.9925348,0.98052406,0.98059297,0.9980695,0.00322822,0.016712712,0.017253978,0.015709762,0.022182526,0.00011248481,0.0046392377,0.0024239381,0.00056313135,-0.0008962762,0.0030352995,0.706335,0.6907687,0.099582255,0.49792236,-0.0038457671,-0.013411403,-0.0035514683,0.0112416465,0.028370611,1.0124474,1.0124474,1.0124474,1.0124474,1.04299,0.9958488,0.9589021,0.9506027,0.9506027,0.9506027,1.0065614,1.0064096,1.0013604,1.0001518,1.018253,1.000607,0.9749634,0.9653856,0.9672693,0.9700633,0.2,0.5,0.75,0.8,0.41666666,0.25009537,0.76753604,0.7987322,0.7987322,0.53467655,0.6,0.8,0.9,0.93333334,0.016666668,0.4,0.3,0.35,0.56666666,0.78333336,0.2,0.5,0.55,0.36666667,-0.76666665,-0.61202437,-0.70106316,-0.5187241,-0.3933522,-0.40586454,-0.25836262,0.09394719,0.42446187,0.22012217,0.03223926,0.4,0.5,0.45,0.4,0.43333334,0.6,0.5,0.55,0.6,0.56666666,-0.2,0.0,-0.1,-0.2,-0.13333334,0.33333334,0.6404029,0.6120165,0.4790555,0.46896777,0.6666667,0.3595971,0.3879835,0.5209445,0.53103226,-0.33333334,0.2808058,0.22403297,-0.041889004,-0.06206447,1.0089467,1.3994205,1.5460879,1.5302407,1.3439822,0.1628896,0.44092938,0.453228,0.42737886,0.40886813,0.6201996,0.8407112,0.8679788,0.936098,0.94217086,0.2042047,0.27912492,0.47788888,0.5003364,0.48625705,0.7957953,0.7208751,0.5221111,0.4996636,0.5137429,-0.59159064,-0.44175017,-0.044222236,0.0006728046,-0.027485894
SH601009,0.12651779128849044,1.0,,2026-02-12,-0.009615374,0.021853112,-0.4400002,0.0061188135,0.27999735,0.006118925,0.28000244,-0.009615263,-0.4399951,1.0097088,1.0158869,0.9938217,1.003328,0.98681426,0.93469334,0.93643486,1.0167931,0.9859435,0.99753696,0.9726583,0.947338,0.9548368,0.98313844,0.0094139045,0.031129159,0.033977132,0.032776896,0.03850926,0.0047642863,0.009678574,0.005021853,0.00018762815,-0.001455688,0.64031863,0.886134,0.7645793,0.002539581,0.43581894,-0.0070655537,-0.01621185,0.0049544433,0.042442575,0.059804372,1.0158869,1.0158869,1.0158869,1.0194232,1.0662498,0.97536826,0.92411363,0.9082911,0.9082911,0.9082911,1.0019405,1.0,0.9882323,0.9947754,1.0105983,0.99193925,0.936609,0.9197661,0.9220301,0.93608654,0.7,0.85,0.925,0.9166667,0.59166664,0.6079109,0.8268893,0.85234606,0.82522345,0.5805875,1.0,1.0,1.0,0.033333335,0.18333334,0.4,0.3,0.25,0.5,0.75,0.6,0.7,0.75,-0.46666667,-0.56666666,-0.121713616,-0.21578562,-0.3052989,-0.25343126,-0.523913,-0.049266852,0.5818316,0.38428113,0.090838574,0.1841828,0.6,0.6,0.45,0.33333334,0.41666666,0.4,0.4,0.55,0.6666667,0.5833333,0.2,0.2,-0.1,-0.33333334,-0.16666667,0.67320305,0.8034681,0.6684245,0.47123992,0.51154244,0.32679695,0.19653188,0.33157548,0.5287601,0.48845756,0.34640607,0.6069362,0.336849,-0.05752014,0.02308488,0.7955495,0.9705513,1.0192189,1.0975971,0.8663914,0.12523015,0.31498134,0.25117755,0.40629607,0.40327293,0.47870854,1.3870877,1.1968371,1.0404229,1.1128256,0.24073769,0.4830175,0.5231392,0.5276757,0.5131523,0.7592623,0.5169825,0.47686082,0.4723243,0.4868477,-0.5185246,-0.03396501,0.046278358,0.055351403,0.026304621
SH601018,0.1228339844655064,0.875,,2026-02-12,-0.011990441,0.016786618,-0.71428573,0.0,0.0,0.004796176,0.2857143,-0.0071942643,-0.42857143,1.012136,1.012136,0.9951456,1.002149,0.9896014,0.94107455,0.8856152,0.880416,0.9168111,1.0006932,0.9857886,0.94514734,0.9262276,0.9129694,0.005285249,0.021112572,0.046180878,0.046306893,0.03602057,0.0020797153,0.006239167,0.0076347706,0.0048037195,0.0011917906,0.38709438,0.8005387,0.9566117,0.8339993,0.33388627,-0.004852686,-0.013864828,-0.017677654,0.004118434,0.05187278,1.0142114,1.0142114,1.0142114,1.0142114,1.0142114,0.98024267,0.9358841,0.87799054,0.87799054,0.87799054,1.005546,1.0010399,0.99514735,0.99064124,0.92339694,0.9961872,0.96360487,0.89601386,0.88700175,0.8873484,0.6,0.8,0.9,0.93333334,0.96666664,0.58163154,0.8185631,0.89567333,0.89567333,0.89567333,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.05,0.033333335,0.5,0.6,0.8,0.9,0.93333334,0.48333332,-0.7532533,-0.6443418,0.08064412,0.40827742,0.33092916,-0.23970863,0.48442835,0.5863446,0.5510123,0.16266875,0.8,0.8,0.7,0.6,0.48333332,0.2,0.2,0.25,0.26666668,0.41666666,0.6,0.6,0.45,0.33333334,0.06666667,0.71428573,0.8541663,0.8367347,0.79487175,0.6071428,0.2857143,0.14583364,0.1632653,0.20512824,0.3928572,0.42857143,0.7083327,0.67346936,0.5897435,0.21428563,1.1877437,1.7020521,1.6722821,1.4151355,1.3130004,0.26298714,0.72103417,0.7174772,0.6974386,0.6983703,0.6632265,1.3705635,1.3079399,1.5470166,1.4921936,0.25920516,0.4080778,0.51082045,0.49997413,0.497822,0.74079484,0.5919222,0.48917952,0.50002587,0.502178,-0.48158967,-0.18384442,0.021640943,-5.1746454e-05,-0.0043560495
SH601166,0.11700289752768125,1.0,,2026-02-12,-0.014316015,0.015906684,-0.9,0.0,0.0,0.0015906683,0.1,-0.012725347,-0.8,1.014524,1.014524,0.9983862,1.0031968,1.0123684,0.98680085,1.0614731,1.1017169,1.1126084,1.0112793,1.002003,1.0063227,1.0353701,1.0660421,0.006411972,0.0142705375,0.023652975,0.046942826,0.046678815,-0.0028982863,0.0035181034,-0.0013986871,-0.0044508264,-0.0021703157,0.5107864,0.557119,0.12238766,0.6966979,0.6593349,-0.005482741,-0.017834432,0.0069648316,0.029166836,-0.0020177918,1.0204403,1.0204403,1.0682478,1.12723,1.1419069,0.9983862,0.9768322,0.9585916,0.9585916,0.9585916,1.0147129,1.0140483,1.0173528,1.0927635,1.103046,1.0098947,0.98657936,0.9861362,0.98680085,1.0123684,0.2,0.4,0.45,0.3,0.15,0.07317322,0.53127205,0.3776203,0.24554555,0.22588639,0.4,0.7,0.05,0.13333334,0.033333335,1.0,0.1,0.5,0.6666667,0.8333333,-0.6,0.6,-0.45,-0.53333336,-0.8,-0.22933,-0.69103706,-0.40299928,-0.57368,-0.66635156,-0.8219782,0.06378082,-0.35547042,-0.24076942,-0.09125604,0.6,0.7,0.45,0.4,0.46666667,0.4,0.3,0.5,0.56666666,0.51666665,0.2,0.4,-0.05,-0.16666667,-0.05,0.2320003,0.596231,0.32923084,0.31886917,0.39420754,0.7679997,0.40376902,0.67076916,0.6811308,0.60579246,-0.5359994,0.19246197,-0.34153834,-0.36226165,-0.21158493,0.9027099,1.3053118,1.7160224,1.4955682,1.1781715,0.28437328,0.5125313,0.70904964,0.6782569,0.5888653,1.3219297,0.9077991,0.93345475,0.99374366,1.1117682,0.2657291,0.19729273,0.48214436,0.5042211,0.50781155,0.73427093,0.80270725,0.51785564,0.49577892,0.49218845,-0.46854183,-0.6054145,-0.03571131,0.008442159,0.0156231
SH601818,0.10859559616636158,1.0,,2026-02-12,-0.0149253495,0.01791047,-0.833331,0.0,0.0,0.0029851203,0.16666901,-0.01194023,-0.666662,1.0151515,1.0151515,0.99696964,1.0023639,1.0058479,0.9824561,0.994152,1.0263158,1.0380117,1.0081872,0.9976608,0.99283624,1.0011696,1.0230507,0.0066676987,0.014443372,0.011942422,0.016443977,0.027078897,6.3787424e-09,0.0039695194,0.0011454085,-0.00088077015,-0.0013737569,2.2880114e-12,0.69238883,0.32196152,0.22233774,0.7849784,-0.008187141,-0.01552365,-0.003717625,0.011601591,0.017475164,1.0176486,1.0176486,1.0176486,1.0351379,1.0936469,0.99383396,0.97358006,0.95892423,0.95892423,0.95892423,1.0146198,1.0099415,1.0035087,1.0175438,1.0467836,1.0023391,0.9836257,0.9824561,0.9853801,0.994152,0.2,0.5,0.75,0.53333336,0.26666668,0.2589174,0.59951943,0.69946754,0.5389552,0.3048914,0.6,0.8,0.9,0.13333334,0.033333335,0.2,0.4,0.5,0.6666667,0.8333333,0.4,0.4,0.4,-0.53333336,-0.8,-0.85555935,-0.7882639,-0.5926867,-0.6433296,-0.109056704,-0.774804,-0.15032989,-0.2348261,-0.1900599,0.0033194516,0.4,0.5,0.45,0.36666667,0.36666667,0.4,0.4,0.5,0.53333336,0.55,0.0,0.1,-0.05,-0.16666667,-0.18333334,0.40000087,0.6071433,0.51923084,0.4347826,0.4591195,0.5999991,0.39285672,0.48076916,0.5652174,0.5408805,-0.19999826,0.21428655,0.038461685,-0.13043478,-0.08176103,0.71252257,0.9324097,0.9813949,0.88381475,0.83710086,0.2050699,0.29625335,0.47559664,0.42067704,0.36653385,1.1424088,0.6982452,0.8150376,0.92792994,1.0101116,0.49690256,0.31864706,0.51680374,0.5255938,0.51004887,0.5030974,0.6813529,0.48319626,0.47440618,0.48995113,-0.006194882,-0.36270586,0.033607498,0.051187642,0.020097738
SH600377,0.10742364571482374,1.0,,2026-02-12,-0.01941747,0.021035645,-0.9230746,0.0008090875,0.03846269,0.0008090875,0.03846269,-0.01941747,-0.9230746,1.019802,1.0206271,0.9991749,1.0074425,1.0099864,1.0115751,0.9555152,0.9943259,1.1105311,1.0054471,1.0025647,0.98950297,0.9849977,1.0086776,0.008145432,0.007880459,0.019628929,0.018726334,0.038883824,0.0019065037,0.0016080027,0.0028967664,0.0013223444,-0.0015323646,0.1369579,0.38166475,0.76225764,0.38644293,0.4736812,-0.009260108,-0.009800676,-0.01702222,-0.0041717133,0.036527205,1.0206271,1.0279865,1.0279865,1.0279865,1.1164303,0.9934815,0.98772454,0.9463778,0.9463778,0.9463778,1.0108942,1.00926,1.0050839,1.0001816,1.0298684,0.99981844,0.9968679,0.9692238,0.9660009,0.97871083,0.4,0.5,0.7,0.8,0.525,0.24013063,0.30488974,0.65706486,0.65706486,0.3153275,1.0,0.1,0.55,0.7,0.016666668,0.4,0.3,0.1,0.4,0.7,0.6,-0.2,0.45,0.3,-0.68333334,0.16384727,-0.5698305,0.12857187,0.02759656,-0.23290421,-0.22799845,-0.40047145,0.27503687,0.18016188,-0.17552613,0.6,0.6,0.65,0.53333336,0.38333333,0.4,0.4,0.35,0.46666667,0.6,0.2,0.2,0.3,0.06666667,-0.21666667,0.39622688,0.436409,0.6172249,0.5106565,0.39268404,0.6037731,0.563591,0.38277516,0.48934352,0.60731596,-0.20754622,-0.12718199,0.23444968,0.021312933,-0.21463192,0.92403907,1.1792669,1.2431597,1.2569318,1.2948862,0.070367925,0.5040177,0.47672024,0.42623708,0.5701174,0.6469067,0.9799725,0.8629136,0.82058686,1.0795811,0.70194346,0.3888786,0.4998464,0.5060761,0.5101882,0.29805657,0.61112136,0.5001536,0.49392387,0.4898118,0.40388688,-0.22224277,-0.00030717254,0.012152253,0.020376412
SH601658,0.1027137165256724,1.0,,2026-02-12,-0.017307686,0.017307686,-1.0,0.0,0.0,0.0,0.0,-0.017307686,-1.0,1.0176126,1.0176126,1.0,1.0059454,1.0158045,0.99568963,1.0129311,1.0445403,1.0833333,1.0117816,1.0047413,1.0012213,1.0138888,1.0391523,0.0068454635,0.0118296025,0.011267767,0.021345414,0.037277218,-0.002298867,0.0024991303,0.00052393886,-0.0016122652,-0.001876759,0.2819434,0.4091183,0.07567518,0.44214582,0.77308965,-0.0071838717,-0.01598745,-0.006198668,0.009488964,0.016212093,1.0231102,1.0231102,1.0231102,1.0561548,1.1422268,1.0,0.9802821,0.98004025,0.98004025,0.98004025,1.016092,1.0158045,1.0135058,1.0376437,1.066092,1.0103449,0.99683905,0.9899425,0.99425286,1.0045977,0.2,0.45,0.575,0.38333333,0.19166666,0.0,0.46039683,0.4634269,0.26223263,0.12306648,0.6,0.8,0.9,0.26666668,0.033333335,1.0,0.3,0.5,0.6666667,0.8333333,-0.4,0.5,0.4,-0.4,-0.8,-0.531511,-0.6176738,-0.5492087,-0.25430846,0.22256836,-0.5103921,0.09529735,-0.0075762155,-0.0024364053,0.09807994,0.2,0.4,0.4,0.4,0.41666666,0.6,0.5,0.55,0.53333336,0.53333336,-0.4,-0.1,-0.15,-0.13333334,-0.11666667,0.17646873,0.5254238,0.45871544,0.40828383,0.41807908,0.82353127,0.47457615,0.54128456,0.5917162,0.5819209,-0.64706254,0.050847687,-0.082569115,-0.18343236,-0.16384183,0.89657474,1.2065438,1.2258677,1.2174329,1.2069587,0.1177892,0.34693533,0.28671923,0.2625492,0.3300969,1.3428917,0.8260346,0.87553984,0.87599695,1.1368674,0.28614664,0.37131432,0.46920216,0.48884785,0.5009459,0.71385336,0.62868565,0.53079784,0.51115215,0.4990541,-0.42770672,-0.25737137,-0.0615957,-0.022304269,0.0018918084
SH601328,0.0974384060857935,1.0,,2026-02-12,-0.013196506,0.01759537,-0.74999875,0.0,0.0,0.004398864,0.25000122,-0.008797641,-0.49999753,1.013373,1.013373,0.9955423,1.0009304,1.0043715,0.9803279,1.0295081,1.0754099,1.0797814,1.0048088,0.99699455,0.9963115,1.0163571,1.0516485,0.0077510844,0.011621203,0.014176492,0.03199016,0.044193286,0.0018579217,0.003129654,-0.00016722117,-0.002882862,-0.0023178416,0.14363816,0.6648167,0.0048698215,0.62938535,0.83898604,-0.008524582,-0.011077982,0.005277122,0.025444493,0.01672788,1.0175713,1.0175713,1.0341375,1.0844771,1.1290994,0.9906958,0.9732912,0.96250373,0.96250373,0.96250373,1.0131147,1.0061202,1.0131147,1.0535519,1.0862296,0.9993443,0.9871038,0.9832787,0.9863388,0.9996721,0.4,0.6,0.65,0.43333334,0.21666667,0.3461975,0.6031783,0.5234443,0.30741355,0.22507349,0.8,0.9,0.05,0.033333335,0.1,0.4,0.3,0.5,0.6666667,0.8333333,0.4,0.6,-0.45,-0.6333333,-0.73333335,-0.52833027,-0.7377528,-0.70461106,-0.7642831,-0.38992003,-0.3230455,-0.100908734,-0.40012082,-0.26851106,0.027835935,0.4,0.6,0.4,0.33333334,0.36666667,0.4,0.3,0.5,0.6,0.5833333,0.0,0.3,-0.1,-0.26666668,-0.21666667,0.44117647,0.625,0.40425533,0.3221648,0.4225053,0.5588235,0.375,0.59574467,0.67783517,0.57749474,-0.11764706,0.25,-0.19148937,-0.35567036,-0.15498942,1.010558,1.2416092,1.4194055,1.2502768,1.1452137,0.16308834,0.37138104,0.42389598,0.43376172,0.38968378,0.7222517,0.5305669,0.73960215,0.8373128,0.8336955,0.39070195,0.2930063,0.48643166,0.51607305,0.49920017,0.60929805,0.7069937,0.51356834,0.48392698,0.50079983,-0.21859613,-0.4139874,-0.027136711,0.03214604,-0.0015996787
